iteration,cfr_avg_expl,cfr_cur_expl,cfrplus_avg_expl,cfrplus_cur_expl,cfr_seconds,cfrplus_seconds,cfr_zero_regret_frac,cfrplus_zero_regret_frac,cfr_avg_value_p0,cfrplus_avg_value_p0,cfr_cur_bet_J,cfrplus_cur_bet_J,cfr_cur_bet_Q,cfrplus_cur_bet_Q,cfr_cur_bet_K,cfrplus_cur_bet_K
1000,0.007269106408564319,0.21504976086826613,7.130031643340362e-05,0.019431873621771734,0.42981399968266487,0.7395842998521402,0.0,0.2916666666666667,-0.05555721950490655,-0.055555373987579426,0.0,0.2848430788026023,0.0,0.0,1.0,0.6260280976357556
1200,0.006821166913411225,0.16666666666666669,0.00012626853856670395,0.023952039236416034,0.51546389964642,0.8895056000619661,0.0,0.2916666666666667,-0.055417966335592816,-0.055555167001533956,0.0,0.17407748024866992,0.0,0.0,0.6317854472234693,0.716834974411109
1400,0.006272172003313009,0.2799583282515916,4.451392839560642e-05,0.01661623216592098,0.6011163996590767,1.037560300086625,0.0,0.2916666666666667,-0.055426376597355775,-0.055555463212937806,0.6797499695095498,0.28178237418937635,0.0,0.0,0.0,0.6259116273877652
1600,0.005867214494719497,0.33333333333333337,4.276660232382934e-05,0.019416736232500675,0.6868669995164964,1.1831918001989834,0.0,0.2916666666666667,-0.0553235679506085,-0.055555484324395,0.0,0.280488744645886,0.0,0.0,1.0,0.6432545931394871
1800,0.005430439695638112,0.19474354798869503,9.333485928275653e-05,0.020034998614443494,0.7722796994494274,1.329119900270598,0.0,0.2916666666666667,-0.05556090463909458,-0.05555540467730902,0.0,0.21343272988116893,0.0,0.0,1.0,0.6830119200217756
2000,0.005287831426630335,0.3072252290275536,4.94563081649968e-05,0.012903008359058443,0.8591253992344718,1.4792132003931329,0.0,0.2916666666666667,-0.05546277359996277,-0.05555550765141365,0.8433513741653217,0.2267854403679178,0.0,0.0,0.0,0.6471066944664761
3000,0.004194526285886291,0.2245194393823657,3.7080666259126094e-05,0.020122105537908802,1.284493599232519,2.209384300833335,0.0,0.2916666666666667,-0.055468389310938615,-0.055555523360513726,0.0,0.25264763043529587,0.0,0.0,0.8979431612271105,0.645460319174561
4000,0.0037240500012584166,0.3079098507958776,4.280635215522799e-05,0.018870008693263413,1.7117388991173357,2.9461828007770237,0.0,0.2916666666666667,-0.05547451256564423,-0.05555553043029604,0.847459104775266,0.2437324407250821,0.0,0.0,0.0,0.6346309262868088
5000,0.003302448056611007,0.16666666666666669,2.5653184871438084e-05,0.019486101953768403,2.1394627992704045,3.6838038003770635,0.0,0.2916666666666667,-0.05550640050387462,-0.05555554499969223,0.0,0.25519647992475925,0.0,0.0,0.3421177793558119,0.6574087295847576
6000,0.0030151074035677794,0.3333333333333333,3.7063947372822925e-05,0.012631523618301915,2.5642065992287826,4.4129764005192555,0.0,0.2916666666666667,-0.05551698432854735,-0.05555553802535601,1.0,0.18316490694184664,0.0,0.0,0.0,0.6763715772207225
7000,0.0026845868244641247,0.2665786999897448,1.7300615357124238e-05,0.012911562693948997,2.9887873989646323,5.144356200646143,0.0,0.2916666666666667,-0.055510463141939026,-0.055555551817286886,0.0,0.2571290724269839,0.0,0.0,1.0,0.6652128820056772
8000,0.0025340461375450984,0.17747254913494082,2.8795579431112328e-05,0.010157903783917871,3.417820498230867,5.87903450083104,0.0,0.2916666666666667,-0.055556680132837266,-0.05555554492602932,0.0,0.1868311228498769,0.0,0.0,1.0,0.6711803708388232
